//Menu

NewGame = Új játék
Levels = Szintek
Settings = Beállítások
QuitGame = Kilépés
Back = Vissza
FOV = Látószög
Quality = Minőség
MSensitivity = Egér érzékenység
Language = Nyelv
English = English
Hungarian = Magyar
Low = Alacsony
Medium = Közepes
High = Magas
MainMenu = Vissza a főmenübe
Retry = Újra
Dead = Meghaltál
Loading = Betöltés...

//In game
InHand = Kézben
Mirror = Tükör
ItemNeeded = Szükséges tárgy
CodeNeeded = Kód szükséges
RedKey = Piros kulcs
Door = Ajtó
Drawer = Fiók
NoAmmo = Nincs több töltény ...
Ammo = Töltény
Paper = Papír
Paper1 = Első papír
Button = Gomb
